key;FR;EN;DE;ES;PT;CN;JP;TR
loggedOutHeaderTitle;Connexion;Login;;;;;;
logout;Déconnexion;Logout;;;;;;
back;Retour;Back;;;;;;
edit;Editer ;Edit ;;;;;;
delete;Supprimer;Delete;;;;;;
cancel;annuler;cancel;;;;;;
readonly;lecture seule;readonly;;;;;;
rootRedirect;"Redirection en cours. Si vous êtes bloqués sur cette page, cliquez <a href=""""/"""">ici</a>";Lost ?;;;;;;
cevaAdminDashboardSalesRepBtn;Commerciaux;Sales representative;;;;;;
cevaAdminDashboardCustomerBtn;Clients;Customers;;;;;;
cevaAdminDashboardConfigurationEditor;Editeur de configurations;Configuration editor;;;;;;
cevaAdminDashboardTranslation;Traduction;Translation;;;;;;
cevaAdminDashboardLanguages;Langues;Languages;;;;;;
loginPageUsernamePlaceholder;Nom d'utilisateur;Username;;;;;;
loginPagePasswordPlaceholder;Mot de passe;Password;;;;;;
loginPageError;Les identifiants renseignés ne nous permettent pas de vous authentifier.;Invalid credentials;;;;;;
loginPageSubmitBtn;OK;OK;;;;;;
languageEditorPageTitle;Editeur de langues;Language editor;;;;;;
languageEidtorPageSubtitle;Créer/editer langue;Create/edit language;;;;;;
languageEditorPageCsvSaving;Sauvegarde du fichier CSV;Saving CSV;;;;;;
languageEditorPageCsvSaved;Fichier CSV sauvegardé;CSV file saved;;;;;;
languageEditorPageCsvFail;Echec de l’envoi du CSV;Failed to upload CSV;;;;;;
languagesPageTitle;Langues;Languages;;;;;;
languagesPageEditCsvSection;Editer .csv;Edit .csv file;;;;;;
languagesPageAdd;Ajouter une langue;Add new language;;;;;;
languagesPageLoading;Chargement des langues;Loading languages;;;;;;
createLanguagePageConfirmation;Langue créée;Language created;;;;;;
createLanguagePageFormNameLabel;Nom de la langue;Language name;;;;;;
createLanguagePageFormNamePlaceholder;Nom de la langue;Language name;;;;;;
createLanguagePageFormCodeLabel;Code de la langue;Language code;;;;;;
createLanguagePageFormCodePlaceholder;Code de la langue (ex. : EN, DE, FR, ES, ...);Language code (ex. : EN, DE, FR, ES, ...);;;;;;
createLanguageTooltip;Le code de la langue est affiché lors d'un clic sur l'icône Langue;The language code is shown when clicking on the Language icon;;;;;;
createLanguagePageFormLanguageIconTitle;Editer l'icône de la langue;Edit language icon;;;;;;
createLanguagePageFormCsvLabel;Editer un .csv;Edit .csv file;;;;;;
createLanguagePageFormCsvPlaceholder;Sélectionner un fichier;Select a file;;;;;;
createLanguagePageFormVisibleLabel;Visible;Visible;;;;;;
createLanguagePageFormSubmitBtn;Sauvegarder;Save settings;;;;;;
createLanguagePageIconSaved;Icône sauvegardée;Icon saved;;;;;;
createLanguagePageCsvSaved;Fichier CSV sauvegardé;CSV file saved;;;;;;
createLanguagePageCsvFail;Echec de l’envoi du CSV;Failed to upload CSV;;;;;;
createLanguagePageFormSubmitFailed;Echec de l’envoi du formulaire;Failed to submit form;;;;;;
createLanguagePageFailed;Echec de la création du langage;Failed to create language;;;;;;
createLanguagePageFailedDuplicate;Echec de la création du langage : duplicat;Failed to create language : duplicate;;;;;;
createLanguagePageFormCancelBtn;Annuler;Cancel;;;;;;
editLanguageSuccessful;Langue éditée;Language edited;;;;;;
equipmentsPageFailedFetch;Impossible de récupérer les équipements;Failed to fetch equipments;;;;;;
equipmentsPageChooseAnElementToEdit;Choisissez un élément à modifier :;Choose an element to edit :;;;;;;
roomsPageChooseOneToEdit;Choisissez une pièce pour l’éditer :;Choose a room to edit its presets :;;;;;;
noConfigurationInRoom;Aucune configuration pour cette pièce;No configuration for this room;;;;;;
CHICK_PROCESSING;Traitement des poussins;Chick processing;;;;;;
WASTE_DISPOSAL;Elimination des déchets;Waste disposal;;;;;;
TRANSFER;Transfert;Transfer;;;;;;
EGG_HANDLING;Manipulation des œufs;Egg handling;;;;;;
headerConfigurationEditor;Editeur de configurations;Configuration editor;;;;;;
headerAdminHome;Accueil admin;Admin home;;;;;;
salesRep;Commerciaux;Sales representatives;;;;;;
customers;Clients;Customers;;;;;;
translation;Traductions;Translation;;;;;;
welcome;Bienvenue;Welcome;;;;;;
languageEditorSaveSettings;Sauvegarder;Save settings;;;;;;
languageEditorDownloadCsv;Télécharger .csv;Download .csv;;;;;;
languageEditorFileInputPlaceholder;Fichier CSV;CSV translation file;;;;;;
configurationCreate;Création configuration;Create configuration;;;;;;
configurationEditFailed;Echec de l’édition de la configuration;Failed to edit configuration;;;;;;
configurationEditFailedDuplicate;Echec de l’édition de la configuration : duplicat;Failed to edit configuration : duplicate.;;;;;;
configurationCreated;Configuration créée;Configuration created;;;;;;
configurationDetails;Détails de la configuration;Configuration details;;;;;;
configurationName;Nom de la configuration;Configuration name;;;;;;
configurationElements;Elements;Elements;;;;;;
configurationEdited;Configuration éditée;Configuration edited;;;;;;
createAnnotationPageHeader;Création d’annotation;Annotation create;;;;;;
createAnnotationPageFailed;Echec de la création de l’annotation;Failed to create annotation;;;;;;
createAnnotationPageFailedDuplicate;Echec de la création de l’annotation : la clé a déjà été utilisée;Failed to create annotation : key is already used;;;;;;
createAnnotationPageConfirmation;Annotation créée;Annotation created;;;;;;
createAnnotationPageKeyLabel;Clé (dans GLTF);Key (from GLTF);;;;;;
createAnnotationPageKeyPlaceholder;Clé;Key;;;;;;
createAnnotationPageDataLabel;Données de l’annotation;Annotation data;;;;;;
createAnnotationPageTitleLabel;Titre;Title;;;;;;
createAnnotationPageTitlePlaceholder;Titre;Title;;;;;;
createAnnotationPageDescriptionLabel;Description;Description;;;;;;
createAnnotationPageDescriptionPlaceholder;Description;Description;;;;;;
createAnnotationPageLanguageLabel;Langue;Language;;;;;;
createAnnotationPageSave;Sauvegarder;Save settings;;;;;;
editAnnotationPageHeader;Edition d’annotation;Annotation edition;;;;;;
editAnnotationPageFailed;Echec de l’édition de l’annotation;Failed to edit annotation;;;;;;
editAnnotationPageFailedDuplicate;Echec de l’édition de l’annotation : la clé a déjà été utilisée;Failed to edit annotation : key is already used;;;;;;
editAnnotationPageConfirmation;Annotation éditée;Annotation edited;;;;;;
editAnnotationPageKeyLabel;Clé (dans GLTF);Key (from GLTF);;;;;;
editAnnotationPageKeyPlaceholder;Clé;Key;;;;;;
editAnnotationPageDataLabel;Données de l’annotation;Annotation data;;;;;;
editAnnotationPageTitleLabel;Titre;Title;;;;;;
editAnnotationPageTitlePlaceholder;Titre;Title;;;;;;
editAnnotationPageDescriptionLabel;Description;Description;;;;;;
editAnnotationPageDescriptionPlaceholder;Description;Description;;;;;;
